mof_id,density,vpa,packing fraction
QERZUI01,1.6461505346478673,11.497735758036557,0.1094916439163749
EXALAR,0.8614715529355877,16.116431582333053,0.0569780956947103
KEDJAG16,1.677560425705012,19.35901042397792,0.10354316407310883
KEHGIP,1.0376711073372045,14.6840024499509,0.0684762018248378
XINWUO,1.250845119914209,17.800170622771294,0.0936104343503831
IBUDOZ,1.7891355293103015,12.162797582037573,0.12815748551617395
VEGMOK01_charged,1.107839498610651,14.855070478867933,0.07183821174657037
NAYHAY,1.0979057761509659,20.252294416045586,0.07496023646589269
HUFJEZ,1.2045500129422184,17.548687152237694,0.09120875215506967
UFUNIS,1.6362074139765637,11.56760671272871,0.10883028968111798
WIKLOT,2.026844224752679,17.04246633486554,0.11279585730193727
XOVPUU,0.39805405500789365,47.37454237290942,0.026419965693696958
PETWIW,0.6814587454763142,19.501014299415175,0.04827634894560031
BIMDIL,1.3681570846564826,14.676804334479218,0.09226612598631372
KEHGAH_charged,0.9634538408282493,16.65275097988936,0.06281813867902303
XANMUX04,1.0401595516120872,19.14469756733192,0.06833203482412999
ESUVAR01,1.6186325449216794,14.779735077818861,0.11682706681351106
HUQHOS,0.7432899592065285,21.348546997961943,0.05071431745710769
YIWNEX,1.374495375015737,34.550379815241925,0.10324940087656552
IXEJOM,0.7557226008204762,33.7355684030268,0.04621597798092406
XEDPON,1.1562114666214702,20.384296398887212,0.08410511037888904
PIJJOI,1.0799508653019108,14.34309473390563,0.07059716700969215
MIXBIG_auto,0.7176668962202446,31.684198059390656,0.04785799063906724
HOMRIL,0.8908967556841397,15.75478157701671,0.05828602424390502
OLOPEM,1.1485123240148314,14.483252049706216,0.07576805472351822
IPIDUH,1.6630318257816752,13.508086213691833,0.12433280050358221
GIJXAA,0.907168801411551,19.087113531625842,0.05990962821581628
XALDAS,0.6413319924407057,31.14119826517601,0.04445380307918638
KIPKEB,1.7869306699244774,13.703514089947554,0.12781224131586844
ESUSOC01,1.4138943668578055,16.919906297840196,0.10204980258328882
ZILFOR_manual,0.6327083890514249,30.13225081060927,0.04306468314111466
CAVSUP,2.305913244014392,14.971430593404778,0.17352614448825399
KOQLUZ,4.3592688337819245,16.259513521404173,0.1662266534729287
MALRUM,0.8283610357651775,13.972133017849359,0.08583660399369897
GOSBOH,0.8076276794823724,18.370548249901145,0.05273672548424444
ZIDBEV,0.8864748653244745,21.512989927471974,0.06564111806894353
QODHUO03,1.3879279112304443,13.587284440626576,0.10086209417832052
PANYOU_charged,1.3865244018759213,11.321043324237907,0.08184234719435957
TIDLID,1.3075396428410706,18.012358207649008,0.09042662667417459
DEJRUH,1.0502722638562525,15.718553456357927,0.07504744280510398
VAXMUF,0.9151064696771538,14.072655520413035,0.060061540183929715
NEVVEQ,1.5900839256046437,15.820664413123037,0.1186132619231336
FIZPOV,0.7784674059850598,27.588334367313717,0.05304010326592832
cm503311x_alf350K,0.9230616721251425,26.478334274354303,0.06425195044479397
QUQFOY,0.8367268990425295,31.392411827976936,0.05674686078593292
DITYOW,1.6905052567853214,12.48309097210878,0.10299087273148969
ZAFXAI,1.3879991013940098,21.75696853472909,0.130927038533121
SUSZOW,1.8575184091144485,18.170080642523285,0.14666175791047317
ODIXEG,0.5340439637400637,36.1435923706105,0.03757831291297973
jp302979a_si_002,0.8752276155306777,31.10716742242727,0.05467923010403733
cm503311x_alf425K,0.9232336908147388,26.4734007798232,0.06426392422363593
NEDWEA,0.890477706043612,19.131136923788734,0.05966754718823507
LUFQUZ,1.5193120726950224,16.323055662151454,0.12392886059169515
DEBWAK,1.0534538705960583,16.22539482712331,0.06703181472893095
BEXQIF,0.7363052102422791,35.797508849633566,0.05319449965301368
FUVGAG02,1.6548067283828716,10.460648447028705,0.11076981472674943
XAMDUM07,0.8689645124484775,29.63775076722606,0.05885565325760862
SOBZEQ,1.1064391706181254,22.451107128422706,0.09833391009613458
cm501138g_si_002,0.8683224783310463,29.659664799894035,0.058812167779371295
VUWSAJ,1.1374813431425865,19.987012252175457,0.08593986743202421
TAPLED,0.9272779611375414,13.421867627358358,0.06094212671384238
XUVHEB,1.0686111010922996,16.509177739243682,0.07249593657188229
QODHUO07,1.3954835669122119,13.513717939868155,0.1014111711503931
cm503311x_aloh500K,0.900050742563113,26.760073406728925,0.06459293783375696
POMSOB,1.119443632528081,17.81716945349928,0.13141315913700477
FECXES,0.8141998428530114,26.15377357126173,0.05371294197968444
UTEWUM,0.7286015641281737,26.668178888027843,0.05297490699762463
FEYJOJ,0.8887387634331099,25.929051548531454,0.06174420623300509
QONKUB,0.9133956058034751,22.637755004321768,0.06168757846377756
LOXWAY,1.3728357823866226,12.301111438703346,0.0917446416575412
ZAGHAT,1.217138496372582,14.829364265761576,0.12100369769076261
QOFDIA02,1.3954150466622377,13.514381515435538,0.10140619171605061
MOFKUO,0.9425997490030066,14.890608456370032,0.06166864058282257
TIDLEZ,1.0454800810390896,22.527327726939472,0.07230315157251307
EVEGOB,1.1743717982239286,23.345500198302823,0.0805607881342703
XENCAU,0.6665306746053195,19.206003301878486,0.04574269982365337
NUBBAP,0.7163708559468897,38.22144325823767,0.04940269711194011
RIPKIM,1.2998346466442503,12.487110486486152,0.08588283641410432
YUGLES,0.7077232271705695,32.93996493221248,0.048309373798725415
GUHNUU,0.9630925064415383,17.683887528754184,0.07286264246725305
NASREH,0.8521711186144538,20.795248583689265,0.05911602114148565
cg901128k_si_004,1.8311986635630788,13.019069375365046,0.12830107895246712
OPIYAP,1.3411940388563914,14.427566213560047,0.08576903556338844
UHASED,1.3051020150712718,19.53312302089059,0.08294517136792408
QERZUI,1.6287086949041623,11.620864998479975,0.10833152176091679
CUQXUI,0.9132206623598333,14.165001214921888,0.06202148736312466
WIHWAN,0.7614363531289411,24.260379225542803,0.042893740822474595
