File,Model,RMSE,MAE
plain_fingerprint_45_CO2_energy.csv,RF,0.7742425193794756,0.31946995893399854
plain_fingerprint_45_CO2_energy.csv,GB,0.7893531653176871,0.3299545077952144
plain_fingerprint_45_H2O_energy.csv,RF,0.5574483190047057,0.306156279121308
plain_fingerprint_45_H2O_energy.csv,GB,0.49573312739340675,0.29601461687904135
45_fingerprints_CO2.csv,RF,0.7742425193794756,0.31946995893399854
45_fingerprints_CO2.csv,GB,0.7893531653176871,0.3299545077952144
45_fingerprints_H2O.csv,RF,0.5574483190047057,0.306156279121308
45_fingerprints_H2O.csv,GB,0.49573312739340675,0.29601461687904135
plain_fingerprint_120_CO2_energy.csv,RF,0.8763252466404264,0.33429866193562713
plain_fingerprint_120_CO2_energy.csv,GB,0.851135358356717,0.323754306340722
plain_fingerprint_120_H2O_energy.csv,RF,0.7541379124986978,0.29650948244299946
plain_fingerprint_120_H2O_energy.csv,GB,0.7595575118549981,0.29452021647108395
120_fingerprints_CO2.csv,RF,0.8763252466404264,0.33429866193562713
120_fingerprints_CO2.csv,GB,0.851135358356717,0.323754306340722
120_fingerprints_H2O.csv,RF,0.7541379124986978,0.29650948244299946
120_fingerprints_H2O.csv,GB,0.7595575118549981,0.29452021647108395
